time/fps,time/time_elapsed,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,train/entropy_loss,train/value_loss,train/learning_rate,train/clip_range,train/loss,train/clip_fraction,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/approx_kl
1264,25,16,51.92,-55.69728088378906,32768,-24.760398280620574,502.8300464630127,0.0004945386666666666,0.2,244.52835083007812,0.501220703125,1.0404984951019287,150,0.16301119327545166,-0.10050447941757738,0.08126755
1255,27,17,48.93,-59.73102569580078,34816,-24.836564004421234,481.395129776001,0.0004941745777777778,0.2,265.9201354980469,0.5048828125,1.0455385446548462,160,0.15915584564208984,-0.09862166835810057,0.106168985
1255,29,18,49.95,-58.302921295166016,36864,-24.865620064735413,491.0703279495239,0.0004938104888888889,0.2,280.705078125,0.511474609375,1.0450515747070312,170,0.1721171736717224,-0.09693935782997869,0.09108609
1259,30,19,51.68,-56.23101043701172,38912,-24.855816149711607,450.42720489501954,0.0004934464000000001,0.2,212.95745849609375,0.51142578125,1.04460871219635,180,0.14455759525299072,-0.09349748771637678,0.11339679
1262,32,20,51.5,-56.77351379394531,40960,-24.900811886787416,423.47486209869385,0.0004930823111111111,0.2,178.09678649902344,0.55947265625,1.049137830734253,190,0.22594386339187622,-0.10210700433235616,0.09648614
1248,34,21,50.78,-57.568511962890625,43008,-24.936896359920503,399.7269603729248,0.0004927182222222222,0.2,163.1894989013672,0.370458984375,1.0496505498886108,200,0.25151365995407104,-0.09609137625811855,0.03807085
1252,35,22,54.08,-52.95460510253906,45056,-24.962090814113616,391.3346410751343,0.0004923541333333334,0.2,121.77362060546875,0.35654296875,1.0524431467056274,210,0.3047066926956177,-0.09365734892198815,0.037518937
1254,37,23,56.47,-49.351226806640625,47104,-25.00186414718628,354.092587184906,0.0004919900444444445,0.2,123.60972595214844,0.32890625,1.0545235872268677,220,0.3461294174194336,-0.09012117824167945,0.032849126
1253,39,24,57.86,-47.329811096191406,49152,-25.009210562705995,392.1671102523804,0.0004916259555555556,0.2,173.8429718017578,0.2857421875,1.0540122985839844,230,0.33205628395080566,-0.08467027234146371,0.028936964
1253,40,25,57.83,-47.538448333740234,51200,-25.01585191488266,376.90600662231446,0.0004912618666666667,0.2,158.05752563476562,0.298095703125,1.055308222770691,240,0.3872169852256775,-0.08582414544362109,0.02972132
1254,42,26,56.76,-49.18960952758789,53248,-25.0309876203537,352.2207394599915,0.0004908977777777777,0.2,139.44642639160156,0.305615234375,1.0559378862380981,250,0.41732853651046753,-0.08466815546271392,0.031217385
1252,44,27,56.7,-48.84635925292969,55296,-25.03257954120636,391.16772270202637,0.0004905336888888889,0.2,167.1952667236328,0.29453125,1.0555363893508911,260,0.4222489595413208,-0.08452609913074412,0.03051736
1241,46,28,56.88,-48.7491569519043,57344,-25.029259812831878,378.7409157752991,0.0004901696,0.2,116.71894073486328,0.30927734375,1.0554977655410767,270,0.36762797832489014,-0.08506409083202016,0.03202029
1242,47,29,56.84,-48.72151184082031,59392,-25.04574635028839,362.9275103569031,0.0004898055111111112,0.2,121.89984130859375,0.31494140625,1.0575309991836548,280,0.4016861319541931,-0.08623603266314603,0.0336202
1240,49,30,57.4,-47.76997375488281,61440,-25.072022867202758,392.9373765945435,0.0004894414222222222,0.2,155.65240478515625,0.301220703125,1.0585864782333374,290,0.38845330476760864,-0.0840783407096751,0.03308491
1240,51,31,57.92,-46.951541900634766,63488,-25.089019966125488,358.20241498947144,0.0004890773333333334,0.2,134.5648651123047,0.3357421875,1.0598784685134888,300,0.40771836042404175,-0.08985089863126632,0.037417553
1244,52,32,57.61,-47.18606948852539,65536,-25.109253787994383,325.6770308494568,0.0004887132444444445,0.2,183.2821044921875,0.32900390625,1.0610781908035278,310,0.46346867084503174,-0.08744867011846509,0.035454694
1246,54,33,58.43,-45.9367790222168,67584,-25.11959640979767,351.8392239570618,0.0004883491555555555,0.2,127.89259338378906,0.346240234375,1.061436414718628,320,0.4397277235984802,-0.08976872095954605,0.035239916
1249,55,34,58.82,-45.37810134887695,69632,-25.12287265062332,319.1419724464416,0.0004879850666666667,0.2,155.21295166015625,0.35126953125,1.0616155862808228,330,0.50870680809021,-0.08738642445532604,0.042090498
1242,57,35,59.82,-44.01396179199219,71680,-25.137267649173737,307.0899115562439,0.00048762097777777777,0.2,106.7808837890625,0.357275390625,1.0627894401550293,340,0.5060641169548035,-0.08759944941848516,0.039728083
1242,59,36,62.25,-40.72446060180664,73728,-25.15887244939804,294.9463283538818,0.0004872568888888889,0.2,83.52194213867188,0.393994140625,1.064745306968689,350,0.5329856872558594,-0.0931869382999139,0.051420934
1244,60,37,62.76,-40.01878356933594,75776,-25.171007204055787,286.17865085601807,0.0004868928,0.2,95.04627227783203,0.3591796875,1.0646624565124512,360,0.505247950553894,-0.08582741433638148,0.044353485
1243,62,38,63.06,-39.52473449707031,77824,-25.17971705198288,261.60549726486204,0.00048652871111111115,0.2,72.82335662841797,0.368701171875,1.0656023025512695,370,0.5963878631591797,-0.0880455649283249,0.050952286
1245,64,39,63.62,-38.5819206237793,79872,-25.199281692504883,239.6527572631836,0.00048616462222222224,0.2,85.55802917480469,0.414794921875,1.0670807361602783,380,0.6376825571060181,-0.09154591705591883,0.05751322
1244,65,40,64.21,-37.7164192199707,81920,-25.242384839057923,299.7563998222351,0.0004858005333333334,0.2,121.251953125,0.3826171875,1.0705766677856445,390,0.545993447303772,-0.08579245379369241,0.044676177
1244,67,41,63.47,-38.922061920166016,83968,-25.26844992637634,267.7751640319824,0.0004854364444444444,0.2,93.51165008544922,0.36591796875,1.0714607238769531,400,0.5583171248435974,-0.08376866951584816,0.049197935
1244,69,42,64.1,-38.2889289855957,86016,-25.288916170597076,294.3754157066345,0.00048507235555555556,0.2,122.01126098632812,0.423681640625,1.0723177194595337,410,0.5735809803009033,-0.09076663319137879,0.050985977
1237,71,43,62.02,-41.358009338378906,88064,-25.30977177619934,259.59310188293455,0.00048470826666666665,0.2,112.57579040527344,0.38173828125,1.0740758180618286,420,0.5559357404708862,-0.08736692444654182,0.05454357
1239,72,44,63.0,-39.754127502441406,90112,-25.32503867149353,257.57952136993407,0.0004843441777777778,0.2,68.4136962890625,0.41708984375,1.074605941772461,430,0.6149340271949768,-0.0901188236719463,0.0579293
1245,74,45,62.64,-40.18641662597656,92160,-25.351153683662414,237.43589162826538,0.0004839800888888889,0.2,81.94741821289062,0.44599609375,1.0781021118164062,440,0.5828337073326111,-0.09030434087617323,0.062357776
1249,75,46,64.73,-37.17793273925781,94208,-25.393912172317506,194.13931140899658,0.000483616,0.2,83.25188446044922,0.424755859375,1.0800917148590088,450,0.6617921590805054,-0.08783552885870449,0.06375544
1249,77,47,66.72,-34.77596664428711,96256,-25.438040924072265,221.41972322463988,0.0004832519111111111,0.2,77.52830505371094,0.42783203125,1.0835683345794678,460,0.636156439781189,-0.08816765956580638,0.059096027
1249,78,48,68.28,-32.5870475769043,98304,-25.477179777622222,186.51481432914733,0.00048288782222222226,0.2,71.17403411865234,0.42900390625,1.08552086353302,470,0.673661470413208,-0.0886830851144623,0.065385744
